"General Settings Micropayment","Allgemeine Einstellungen Micropayment"
"Project ID","Projekt Kürzel"
"AccessKey","Access Key"
"Test Mode","Test Modus"

"Micropayment Domain","Micropayment Domain"
"Theme","Theme Template"
"GFX","Logo Grafik"
"Background Color","Hintergrund Farbe"
"Background GFX","Hintergrund Grafik"
"Secret Field","Geheimwort - Zur Absicherung der Kommunikation"
"Refundmode","Erstattungsmodus"
"Generate creditmemo for invoice","CreditMemo für Rechnung generieren"
"Book amounts directly to order","Beträge direkt in die Bestellung buchen"

"OrderStatusSetting","Bestellstatus Einstellungen"
"NewOrderStatus","Status Neue Bestellung"
"PaymentStatus","Status Zahlungseingang"
"ErrorStatus","Status Abbruch oder Fehler"
"CancelStatus","Status Refund"
"PendingStatus","Status Offene Zahlung"

"DisplaySettings","Anzeige Einstellungen"

"Expire Days","Gültigkeitsdauer in Tagen"
"Paytext","Buchungstext"
"Invoicemode","Rechnungsmodus"
"Generate automatic invoice","Rechnung automatisch erzeugen"
"Generate manual invoice","Rechnung manuell erzeugen"

"Enabled","Aktiviert"
"Title","Anzeigename"

"EMailSettings","EMail Einstellungen"
"Disabled if empty. Otherwise email will be sent to given email address in case of notification of type.","Deaktiviert wenn leer. Ansonsten wird eine EMail an die jeweilige Adresse geschickt je nach Typ."
"EMail on booking","EMail bei Buchung (booking)"
"EMail on refund","EMail bei Erstattung (refund)"
"EMail on reversal","EMail bei Rückabwicklung (reversal)"
"EMail on storno","EMail bei Storno (storno)"
"EMail on expire","EMail bei Ablauf (expire)"
"EMail on payin","EMail bei Zahlungseingang (payin)"
"EMail on create","EMail bei Erstellung (create)"
"EMail on closed","EMail bei Schliessung (closed)"
"EMail on change","EMail bei Änderung (change)"
"EMail on backpay","EMail bei Rückzahlung (backpay)"
"EMail on quit","EMail bei Beendigung (quit)"
