"Service Point","Service Point"
"Connect with SendCloud","Mit SendCloud Verbinden"
"Go to SendCloud","Gehe zu SendCloud"
"SendCloud","SendCloud"
"SendCloud Service Point API","SendCloud Service Point API"
"Activate Service Point","Service Point Aktivieren"
"Deactivate Service Point","Service Point Deaktivieren"
"Auto Connect","Automatisch Verbinden"
"Service Point Flat Rate","Service Point Pauschaltarif"
"Free Shipping Enabled","Kostenloses Versenden Wurde Hinzugefügt"
"Minimum Order Amount for Free Shipping","Minimale Bestellmenge für kostenloses Versenden"
"Shipping Methods","Shipping Methods"
"Enabled","Aktiviert"
"Method Name","Methodenname"
"Price","Preis"
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"Handling Fee","Bearbeitungsgebühren"
"Sort Order","Sortierreihenfolge"
"Title","Titel"
"Type","Typ"
"Ship to Applicable Countries","Versand in zutreffende Länder"
"Ship to Specific Countries","Versand in angegebene Länder"
"Show Method if Not Applicable","Wenn nicht anwendbar, Verfahren anzeigen"
"Displayed Error Message","Angezeigte Fehlermeldung"
