"Item information","Item information"
"Title","Title"
"File","File"
"Status","Status"
"Enabled","Enabled"
"Disabled","Disabled"
"Content","Content"
"Item Information","Item Information"
"Save Item","Save Item"
"Delete Item","Delete Item"
"Save And Continue Edit","Save And Continue Edit"
"Edit Item ","Edit Item "
"Add Item","Add Item"
"ID","ID"
"Item Content","Item Content"
"Action","Action"
"Edit","Edit"
"CSV","CSV"
"XML","XML"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Item Manager","Item Manager"
"Use Website","Use Website"
"Use Default","Use Default"
"No Logged In","No Logged In"
"None","None"
"Image","Image"
"Product Name","Product Name"
"Qty","Qty"
"Cart Abandoned Reminder","Cart Abandoned Reminder"
"Settings","Settings"
"Allow Everything","Allow Everything"
"Cart Reminder Email","Cart Reminder Email"
"Cartreminder Module","Cartreminder Module"
"Cart Reminder","Cart Reminder"
"AdvancedCheckout.com","AdvancedCheckout.com"
"Use Cart Reminder","Use Cart Reminder"
"Number of reminders","Number of reminders"
"Disabled Customer Groups","Disabled Customer Groups"
"Auto send email","Auto send email"
"Email Sent After","Email Sent After"
"Email Sender","Email Sender"
"Email Subject","Email Subject"
"Email Template","Email Template"
"Redirect Route","Redirect Route"
"This feature may help you to increase conversion rate.","This feature may help you to increase conversion rate."
"Maximum number of reminders. Must be a number greater than 0. Please remember to configure reminders if you change this number","Maximum number of reminders. Must be a number greater than 0. Please remember to configure reminders if you change this number"
"Customers in these groups will NOT have reminders generated.","Customers in these groups will NOT have reminders generated."
"Enter number. For example: 5","Enter number. For example: 5"
"After clicking on the recover cart url the customer will be redirected to this route. Only change if you know what you are doing.","After clicking on the recover cart url the customer will be redirected to this route. Only change if you know what you are doing."
