"Service Point","Point Service"
"Connect with SendCloud","Se connecter avec SendCloud"
"Go to SendCloud","Aller sur SendCloud"
"SendCloud","SendCloud"
"SendCloud Service Point API","API SendCloud Point Service"
"Activate Service Point","Activer Point Service"
"Deactivate Service Point","Désactiver Point Service"
"Auto Connect","Connexion Automatique"
"Service Point Flat Rate","Tarif unique Point Service"
"Free Shipping Enabled","Envoi Gratuit Activé"
"Minimum Order Amount for Free Shipping","Montant Mimimum de la Commande pour un Envoi Gratuit"
"Shipping Methods","Shipping Methods"
"Enabled","Activé"
"Method Name","Nom de méthode"
"Price","Prix"
"Calculate Handling Fee","Calculer les frais de dossier"
"Handling Fee","Frais de traitement"
"Sort Order","Ordre de tri"
"Title","Titre"
"Type","Type"
"Ship to Applicable Countries","Livrer vers les pays applicables"
"Ship to Specific Countries","Livrer vers les pays spécifiques"
"Show Method if Not Applicable","Afficher le mode s'il n'est pas applicable"
"Displayed Error Message","Message d'erreur affiché"
