"Standard","Стандартный"
"Minimal","Минимальный"
"Optional","Опциональный"
"Required","Обязательный"
"Hidden","Скрытый"
"The fire checkout is disabled.","Фаерчекаут выключен."
"Fire Checkout Section","Секции фаерчекаута"
"Fire Checkout","Фаерчекаут"
"Default Shipping Method","Метод доставки по умолчанию "
"Default Payment Method","Метод оплаты по умолчанию"
"Default Country","Страна по умолчанию"
"Show Shipping Address Form","Показывать форму адресса доставки"
"Show Subscribe to Newsletter Checkbox","Показывать форму подписки на рассылку"
"Address Form Fields","Поля формы адреса"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Перед изменением настроек убедитесь в том что ваш модуль оплаты не требуте присутсвие данных полей."
"Output Type","Тип вывода"
"Create account for later use","Создать учетную запись"
"Checkout Review","Обзор заказа"
"Already registered? Login into your account","Уже зарегестрированы? Используйте свою учетную запись"
"Show Comment Field","Показывать поле коментария"
"Guest checkout is allowed","Разрешить размещения заказа гостем"
"Registration is required","Регистрация обязательна"
"User is registered during checkout without prompting a password","Регистрировать пользователя во время оформления заказа без запроса пароля"
"Registration mode","Тип регистрации"
"Show Discount Coupon Field","Показывать поле купона скидки"
"Firecheckout on Mobile Devices","Фаерчекаут на мобильных устройствах"
"Redirect to firecheckout after adding an item to the shopping cart","Перенаправлять на Фаерчекаут после добавления товара в корзину"
"Register customer during Paypal Express checkout if prompted","Регистрировать клиентов при использовании Paypal Express checkout"
"Ship to the same address","Отправить по тому-же адрессу"
"Validate taxvat number","Проверять номер VAT"
"Use online VIES validation","Использовать валидацию VIES "
"Show Giftcard Field","Показывать поле подарочного сертификата"
"Works with Magento Enterprise/Pro Versions Only","Работает только с версией Enterprise/Pro "
"Address Form Fields Sort Order","Порядок сортировки полей адреса"
"To place the fields in one row, set their order values in continuous chain: 1,2 or 12,13 or 20,21</br>To place fields in separate rows break the order values chain: 1,3 or 12,18 or 20,30","Для размещения полей в одну строку - установите  порядок отобрадения в цепочки: 1,2 или 12,13 или 20,21</br> Для размещения в отдльные строки исользуйте порядок: 1,3 или 12,18 или 20,30"
"Invalid VAT number","Неправильный номер VAT"
"The VAT validation service unavailable. Please re-submit your request later.","Сервис валидации VAT недоступный. Пожайлуста отправьте ваш запрос еще раз."
"The provided CountryCode is invalid or the VAT number is empty","Сод страные неправильный или поле VAT пустое"
"The VAT validation service cannot process your request. Try again later.","Сервис валидации VAT не может обработать ваш запрос. Пожайлуста попробуйте позже."
"Unknown VAT validation service message. Try again later.","Неизвестная ошибка валидации VAT. Пожайлуста попробуйте позже."
"The provided CountryCode is invalid for the VAT number","Код страны неправильный для введеного номера VAT"
"Delivery Date and Time","Время и дата доставки"
"Delivery Date","Дата доставки"
"Delivery Time","Время доставки"
"Display Mode","Режи отображения"
"Use Calendar","Использовать календарь"
"Exclude the Weekend Days","Исключить выходные"
"Dates to Exclude","Даты для исключения"
"Use Time Range","Использовать диапазоны времени"
"Time Ranges","Диапазон времени"
"We cannot deliver the package at the selected date. Please select another date for the delivery","Мы не можем доставить заказ в указаную дату. Попробуйте выбрать другую дату доставки."
"We cannot deliver the package at the selected time. Please select another time for the delivery","Мы не можем доставить заказ в указаное время. Попробуйте выбрать другое время доставки."
"Show for All Shipping Methods","Показывать все методы доставки"
"Show for Specific Shipping Methods","Показывать выбранные методы доставки"
"MM/DD/YYYY","ММ/ДД/ГГГГ"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Пользователь с указанным адрессом электронной почты уже зарегестрирован. Пожайлуста вводйите в вашу учетную запись используя данный адресс или используйте другой адресс электронной почты."
"Example: %s","Пример: %s"
